Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.3122326731681824, 0.3320004343986511, -0.002380291000008583), 'rot': (0.926192045211792, 0.37666213512420654, -0.00018040335271507502, 0.017148852348327637), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000178198519279249}
{'id_num': 42, 'pos': (0.3122260570526123, 0.33199554681777954, -0.0023828221019357443), 'rot': (0.9262104034423828, 0.3766200542449951, -0.00016067006799858063, 0.017077146098017693), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001761317253112793}
{'id_num': 42, 'pos': (0.3122251331806183, 0.33199337124824524, -0.0023813396692276), 'rot': (0.9262252449989319, 0.37658581137657166, -0.00018838327378034592, 0.017030132934451103), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017791055142879486}
{'id_num': 42, 'pos': (0.3122220039367676, 0.331993043422699, -0.0023822300136089325), 'rot': (0.9262346625328064, 0.3765648901462555, -0.0001769350201357156, 0.01697535440325737), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017306022346019745}
{'id_num': 42, 'pos': (0.31221675872802734, 0.33199360966682434, -0.0023831354919821024), 'rot': (0.9262372851371765, 0.37655946612358093, -0.00017597789701540023, 0.016953090205788612), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018309205188415945}
{'id_num': 42, 'pos': (0.3122117817401886, 0.3319961428642273, -0.002385243773460388), 'rot': (0.926240861415863, 0.37654730677604675, -0.00015595195873174816, 0.017034640535712242), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018028542399406433}
{'id_num': 42, 'pos': (0.3122100830078125, 0.3320022225379944, -0.002382492646574974), 'rot': (0.9262368679046631, 0.3765517771244049, -0.0001717959821689874, 0.017148638144135475), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001815065770642832}
{'id_num': 42, 'pos': (0.31221720576286316, 0.3320152461528778, -0.002383152488619089), 'rot': (0.9262308478355408, 0.37657245993614197, -0.00015589460963383317, 0.017022695392370224), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019783340394496918}
{'id_num': 42, 'pos': (0.31221333146095276, 0.33201518654823303, -0.002387258457019925), 'rot': (0.9262340664863586, 0.3765662610530853, -0.00016404461348429322, 0.016981592401862144), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017348378605674952}
{'id_num': 42, 'pos': (0.3122112452983856, 0.33201393485069275, -0.0023913420736789703), 'rot': (0.926234245300293, 0.3765643835067749, -0.0001832184352679178, 0.017013151198625565), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001779295562300831}
{'id_num': 42, 'pos': (0.31221020221710205, 0.3320155739784241, -0.0023888801224529743), 'rot': (0.9262359738349915, 0.3765619695186615, -0.00016277184477075934, 0.016976241022348404), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017504431889392436}
{'id_num': 42, 'pos': (0.3122085630893707, 0.33201462030410767, -0.00238947756588459), 'rot': (0.9262375235557556, 0.3765581250190735, -0.00016335431428160518, 0.016978226602077484), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001768942893249914}
{'id_num': 42, 'pos': (0.31220462918281555, 0.33201122283935547, -0.002391036134213209), 'rot': (0.9262397289276123, 0.37655210494995117, -0.00015920707664918154, 0.0169850904494524), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018030256615020335}
{'id_num': 42, 'pos': (0.31221064925193787, 0.33201897144317627, -0.002390505513176322), 'rot': (0.9262193441390991, 0.3766052722930908, -0.00014890838065184653, 0.01692195050418377), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019391179375816137}
{'id_num': 42, 'pos': (0.3122047483921051, 0.3320190906524658, -0.0023915190249681473), 'rot': (0.9262260794639587, 0.37658536434173584, -0.00019532418809831142, 0.016991427168250084), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017732121341396123}
{'id_num': 42, 'pos': (0.31221267580986023, 0.3320295810699463, -0.002392584690824151), 'rot': (0.926203191280365, 0.37663981318473816, -0.00021003941947128624, 0.017032574862241745), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001905146928038448}
{'id_num': 42, 'pos': (0.312215656042099, 0.33203643560409546, -0.002394267125055194), 'rot': (0.9261897206306458, 0.3766734004020691, -0.0001929677528096363, 0.017018603160977364), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018854960217140615}
{'id_num': 42, 'pos': (0.31221601366996765, 0.33204323053359985, -0.002391924848780036), 'rot': (0.926180362701416, 0.37669143080711365, -0.00016866018995642662, 0.017133451998233795), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001982007233891636}
